,revid_A,revid_B,distCol
95,1025280293,1031313151,0.5
96,926152545,988638385,0.0
97,933659723,1026119464,0.0
98,933697724,1021731680,0.0
99,934729034,1021731680,0.0
100,934729034,1026472216,0.0
101,969358269,1030841680,0.5
102,990711368,1012808131,0.5
103,1001971697,1019581536,0.5
104,1024350367,1026229786,0.0
105,1026066166,1026118966,0.0
106,1026118966,1028003975,0.5
107,1026123293,1026211301,0.0
108,1026210303,1031203808,0.5
109,1013336910,1031203808,0.6666666666666667
110,1014999752,1030950024,0.6666666666666667
111,1015619258,1015815891,0.5
112,1027834092,1031203902,0.6666666666666667
113,1028003975,1031490826,0.6666666666666667
114,414518744,1026566001,0.0
115,415260959,1031203902,0.5
116,415260959,1031490826,0.5
117,428224858,1031203969,0.5
118,519825986,1015815891,0.0
119,676930972,1026210303,0.0
120,920701603,1031176840,0.5
121,944256723,1030210119,0.5
122,1031203969,1031559617,0.0
123,1015289679,1026066166,0.0
124,1020704764,1030950024,0.5
125,1021731680,1031211876,0.5
126,1021734055,1026066166,0.0
127,925217532,930572575,0.0
128,926152545,1026211301,0.0
129,1024350367,1026066166,0.0
130,1024350367,1028311245,0.5
131,1026066166,1031211876,0.5
132,1026124433,1028003975,0.5
133,1019581536,1026123293,0.5
134,415260959,1018870665,0.0
135,415260959,932493922,0.0
136,415260959,988509148,0.0
137,428224858,934729034,0.0
138,519825986,1031176840,0.5
139,920700118,1025280293,0.0
140,920700118,1028311199,0.5
141,951441234,1031203808,0.5
142,1012808131,1015608105,0.0
143,1015289679,1026210303,0.0
144,1015815891,1031203902,0.5
145,1015815891,1026229786,0.0
146,1021731680,1021732883,0.0
147,1021734055,1026229786,0.0
148,1025280293,1031559165,0.5
149,1025280293,1030841680,0.5
150,925217532,1030210317,0.5
151,933659723,1031313151,0.5
152,961538323,1026229786,0.0
153,986349135,1031490826,0.5
154,1026116621,1026123293,0.0
155,1026119464,1031176840,0.5
156,1026123293,1028003996,0.5
157,1026204454,1030950024,0.5
158,1026208660,1026229786,0.0
159,1026210303,1031176840,0.5
160,1026472216,1027266569,0.0
161,1012808131,1026068418,0.5
162,428224858,951353093,0.0
163,519825986,1012808131,0.5
164,676930901,1026119464,0.0
165,676930972,947941918,0.0
166,676930972,951441234,0.0
167,676931257,951353093,0.0
168,1028003975,1031313155,0.0
169,1021731652,1027834092,0.5
170,926152545,1028311199,0.5
171,1026119464,1026470342,0.0
172,1026119464,1028004221,0.5
173,1026124433,1030948996,0.5
174,1012808131,1031203902,0.6666666666666667
175,1019581536,1030259444,0.6666666666666667
176,1028003975,1031176840,0.6666666666666667
177,1028003975,1031559617,0.6666666666666667
178,1028004109,1030948996,0.6666666666666667
179,428224858,1026229786,0.0
